"filename", "language", "JavaScript", "Batch", "TypeScript", "JSON with Comments", "JSON", "HTML", "CSS", "Markdown", "YAML", "XML", "JavaScript React", "comment", "blank", "total"
"c:\RiskEstimationRecorder\software\source\imports\API\Models\ModelTemplates\GridInfoModel\GridInfoModel.ts", "TypeScript", 0, 0, 166, 0, 0, 0, 0, 0, 0, 0, 0, 64, 28, 258
"c:\RiskEstimationRecorder\software\source\imports\API\Models\ModelTemplates\IJSONParseableModel.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\RiskEstimationRecorder\software\source\imports\API\Models\ModelTemplates\LevelModel\LevelModel.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"c:\RiskEstimationRecorder\software\source\imports\API\Models\ModelTemplates\LogInfoModel\LogInfoModel.ts", "TypeScript", 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 216
"c:\RiskEstimationRecorder\software\source\imports\API\Models\ModelTemplates\NodeModel\NodeModel.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 29
"c:\RiskEstimationRecorder\software\source\imports\API\Models\ModelTemplates\NodeModel\NodeModel.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 29
"c:\RiskEstimationRecorder\software\source\imports\API\Models\ModelTemplates\PlantModel\NodeModel.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 14, 49
"c:\RiskEstimationRecorder\software\source\imports\API\Models\ModelTemplates\PlantModel\NodeModel.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 10, 14, 49
"c:\RiskEstimationRecorder\software\source\imports\API\Models\ModelTemplates\RectangleInfoModel\RectangleInfoModel.ts", "TypeScript", 0, 0, 236, 0, 0, 0, 0, 0, 0, 0, 0, 14, 72, 322
"c:\RiskEstimationRecorder\software\source\imports\API\Modules\Calculator\Calculator.ts", "TypeScript", 0, 0, 337, 0, 0, 0, 0, 0, 0, 0, 0, 91, 127, 555
"c:\RiskEstimationRecorder\software\source\imports\API\Modules\Calculator\ICalculator.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\RiskEstimationRecorder\software\source\imports\API\Modules\Configuration\CalcConfigController.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 33
"c:\RiskEstimationRecorder\software\source\imports\API\Modules\Configuration\GridConfigController.ts", "TypeScript", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 93
"c:\RiskEstimationRecorder\software\source\imports\API\Modules\Configuration\NetworkConfigController.ts", "TypeScript", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 48
"c:\RiskEstimationRecorder\software\source\imports\API\Modules\Configuration\SurveyListConfigController.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 26
"c:\RiskEstimationRecorder\software\source\imports\API\Modules\Export\ExportManager.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 72
"c:\RiskEstimationRecorder\software\source\imports\API\Modules\Import\ImportManager.ts", "TypeScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 58
"c:\RiskEstimationRecorder\software\source\imports\API\Modules\Log\LogController.ts", "TypeScript", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 65
"c:\RiskEstimationRecorder\software\source\imports\API\Modules\MxGraph\Eventhandling\GraphEventHandler.ts", "TypeScript", 0, 0, 353, 0, 0, 0, 0, 0, 0, 0, 0, 103, 96, 552
"c:\RiskEstimationRecorder\software\source\imports\API\Modules\MxGraph\Extensions\JsonCodec.ts", "TypeScript", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 53
"c:\RiskEstimationRecorder\software\source\imports\API\Modules\MxGraph\Extensions\MxCellAttributeChange.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 26
"c:\RiskEstimationRecorder\software\source\imports\API\Modules\MxGraph\Extensions\MxGraphClassConverter.ts", "TypeScript", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 70
